[  19 / 132 ] flow_distance =    90.825971246336024 | volume_distance =     5.684540063725169 | sum_distance =    96.510511310061190 | exercise(cycle,model) = exerc_2 | exerc_2
[  19 / 132 ] flow_distance =   102.897427107023859 | volume_distance =     8.087498130168651 | sum_distance =   110.984925237192513 | exercise(cycle,model) = exerc_2 | exerc_5
[  19 / 132 ] flow_distance =    57.871308927161571 | volume_distance =     5.322978910704875 | sum_distance =    63.194287837866447 | exercise(cycle,model) = exerc_2 | exerc_1

[  20 / 132 ] flow_distance =    82.114356147171819 | volume_distance =     8.195358864017642 | sum_distance =    90.309715011189468 | exercise(cycle,model) = exerc_2 | exerc_4
[  20 / 132 ] flow_distance =    30.635708979021739 | volume_distance =     5.993916310005222 | sum_distance =    36.629625289026961 | exercise(cycle,model) = exerc_2 | exerc_6
[  20 / 132 ] flow_distance =   202.975191278830408 | volume_distance =    16.420012084785068 | sum_distance =   219.395203363615479 | exercise(cycle,model) = exerc_2 | exerc_3
[  20 / 132 ] flow_distance =    92.682266539700819 | volume_distance =    16.026432690484288 | sum_distance =   108.708699230185104 | exercise(cycle,model) = exerc_2 | exerc_7
[  20 / 132 ] flow_distance =    91.524454191054630 | volume_distance =    19.092354059820742 | sum_distance =   110.616808250875380 | exercise(cycle,model) = exerc_2 | exerc_2
[  20 / 132 ] flow_distance =   111.979727222320506 | volume_distance =     7.596748603073505 | sum_distance =   119.576475825394013 | exercise(cycle,model) = exerc_2 | exerc_5
[  20 / 132 ] flow_distance =   124.305938632502460 | volume_distance =    19.557293578738069 | sum_distance =   143.863232211240529 | exercise(cycle,model) = exerc_2 | exerc_1

[  21 / 132 ] flow_distance =   107.499005755250934 | volume_distance =     3.336229562844867 | sum_distance =   110.835235318095798 | exercise(cycle,model) = exerc_2 | exerc_4
[  21 / 132 ] flow_distance =    41.098990287101472 | volume_distance =     1.811608762968306 | sum_distance =    42.910599050069777 | exercise(cycle,model) = exerc_2 | exerc_6
[  21 / 132 ] flow_distance =   183.766659818139175 | volume_distance =     8.390400357388863 | sum_distance =   192.157060175528045 | exercise(cycle,model) = exerc_2 | exerc_3
[  21 / 132 ] flow_distance =    99.123295436159253 | volume_distance =     4.939815606941327 | sum_distance =   104.063111043100577 | exercise(cycle,model) = exerc_2 | exerc_7
[  21 / 132 ] flow_distance =   106.325472273327051 | volume_distance =    11.739209831786027 | sum_distance =   118.064682105113079 | exercise(cycle,model) = exerc_2 | exerc_2
[  21 / 132 ] flow_distance =   112.763788488720280 | volume_distance =     3.202847539157085 | sum_distance =   115.966636027877371 | exercise(cycle,model) = exerc_2 | exerc_5
