[  18 / 132 ] flow_distance =   215.930658924573066 | volume_distance =   228.733864939847308 | sum_distance =   444.664523864420403 | exercise(cycle,model) = exerc_1 | exerc_3
[  18 / 132 ] flow_distance =   109.583379208767070 | volume_distance =   247.109539047887438 | sum_distance =   356.692918256654480 | exercise(cycle,model) = exerc_1 | exerc_7
[  18 / 132 ] flow_distance =   119.331779865018632 | volume_distance =   169.393907432373908 | sum_distance =   288.725687297392540 | exercise(cycle,model) = exerc_1 | exerc_2
[  18 / 132 ] flow_distance =    93.669464212636015 | volume_distance =   131.452968932488972 | sum_distance =   225.122433145125001 | exercise(cycle,model) = exerc_1 | exerc_5
[  18 / 132 ] flow_distance =   154.714472459503867 | volume_distance =   375.314477948116235 | sum_distance =   530.028950407620073 | exercise(cycle,model) = exerc_1 | exerc_1

[  19 / 132 ] flow_distance =    79.393473720011798 | volume_distance =     8.713185623944005 | sum_distance =    88.106659343955798 | exercise(cycle,model) = exerc_2 | exerc_4
[  19 / 132 ] flow_distance =    21.179612270007897 | volume_distance =    18.160570510574903 | sum_distance =    39.340182780582801 | exercise(cycle,model) = exerc_2 | exerc_6
[  19 / 132 ] flow_distance =   129.210865243302578 | volume_distance =     3.951277585593433 | sum_distance =   133.162142828896009 | exercise(cycle,model) = exerc_2 | exerc_3
[  19 / 132 ] flow_distance =    55.251580222339939 | volume_distance =    10.716361452826852 | sum_distance =    65.967941675166799 | exercise(cycle,model) = exerc_2 | exerc_7
[  19 / 132 ] flow_distance =    72.481021001696931 | volume_distance =     3.046970504297706 | sum_distance =    75.527991505994635 | exercise(cycle,model) = exerc_2 | exerc_2
[  19 / 132 ] flow_distance =    73.658651167885807 | volume_distance =     8.113118669071703 | sum_distance =    81.771769836957503 | exercise(cycle,model) = exerc_2 | exerc_5
[  19 / 132 ] flow_distance =    63.637777025645185 | volume_distance =     5.373838214574630 | sum_distance =    69.011615240219811 | exercise(cycle,model) = exerc_2 | exerc_1

[  20 / 132 ] flow_distance =   111.449343372097061 | volume_distance =     7.338566314010768 | sum_distance =   118.787909686107824 | exercise(cycle,model) = exerc_2 | exerc_4
[  20 / 132 ] flow_distance =    29.075699332929851 | volume_distance =     5.072157493973884 | sum_distance =    34.147856826903734 | exercise(cycle,model) = exerc_2 | exerc_6
[  20 / 132 ] flow_distance =   223.375313849435656 | volume_distance =    16.402005505681274 | sum_distance =   239.777319355116930 | exercise(cycle,model) = exerc_2 | exerc_3
[  20 / 132 ] flow_distance =    84.270918992900533 | volume_distance =    16.032692710277743 | sum_distance =   100.303611703178277 | exercise(cycle,model) = exerc_2 | exerc_7
[  20 / 132 ] flow_distance =   111.947099785947856 | volume_distance =    12.072151821509342 | sum_distance =   124.019251607457193 | exercise(cycle,model) = exerc_2 | exerc_2
[  20 / 132 ] flow_distance =   108.626692507814667 | volume_distance =     7.634383038036357 | sum_distance =   116.261075545851028 | exercise(cycle,model) = exerc_2 | exerc_5
[  20 / 132 ] flow_distance =   117.626047492519263 | volume_distance =    19.568643736436023 | sum_distance =   137.194691228955293 | exercise(cycle,model) = exerc_2 | exerc_1

[  21 / 132 ] flow_distance =    84.465744443969911 | volume_distance =     2.705185857955056 | sum_distance =    87.170930301924969 | exercise(cycle,model) = exerc_2 | exerc_4
[  21 / 132 ] flow_distance =    38.173869991048257 | volume_distance =     9.092440834969365 | sum_distance =    47.266310826017623 | exercise(cycle,model) = exerc_2 | exerc_6
[  21 / 132 ] flow_distance =   180.733471163983324 | volume_distance =     8.412768872532787 | sum_distance =   189.146240036516105 | exercise(cycle,model) = exerc_2 | exerc_3
[  21 / 132 ] flow_distance =   100.474065494040559 | volume_distance =     4.910789447781489 | sum_distance =   105.384854941822041 | exercise(cycle,model) = exerc_2 | exerc_7
[  21 / 132 ] flow_distance =   130.503703809012677 | volume_distance =     5.226421046444247 | sum_distance =   135.730124855456921 | exercise(cycle,model) = exerc_2 | exerc_2
[  21 / 132 ] flow_distance =   114.026881620154882 | volume_distance =     3.215441557080732 | sum_distance =   117.242323177235619 | exercise(cycle,model) = exerc_2 | exerc_5
[  21 / 132 ] flow_distance =   118.816951850458054 | volume_distance =    11.301628661361457 | sum_distance =   130.118580511819516 | exercise(cycle,model) = exerc_2 | exerc_1

[  22 / 132 ] flow_distance =    80.351972228001841 | volume_distance =    19.090862372758561 | sum_distance =    99.442834600760406 | exercise(cycle,model) = exerc_2 | exerc_4
[  22 / 132 ] flow_distance =    38.927057326234063 | volume_distance =    50.348721638272075 | sum_distance =    89.275778964506145 | exercise(cycle,model) = exerc_2 | exerc_6
[  22 / 132 ] flow_distance =   140.324521856140422 | volume_distance =    13.323844455896628 | sum_distance =   153.648366312037041 | exercise(cycle,model) = exerc_2 | exerc_3
[  22 / 132 ] flow_distance =    15.288616553528234 | volume_distance =    26.212553495842123 | sum_distance =    41.501170049370359 | exercise(cycle,model) = exerc_2 | exerc_7
[  22 / 132 ] flow_distance =    21.092495974767353 | volume_distance =    10.488204525503869 | sum_distance =    31.580700500271220 | exercise(cycle,model) = exerc_2 | exerc_2
[  22 / 132 ] flow_distance =    34.455955754514306 | volume_distance =    20.715862763141335 | sum_distance =    55.171818517655637 | exercise(cycle,model) = exerc_2 | exerc_5
[  22 / 132 ] flow_distance =    61.968510521120720 | volume_distance =     2.072305709726916 | sum_distance =    64.040816230847639 | exercise(cycle,model) = exerc_2 | exerc_1

[  23 / 132 ] flow_distance =    90.784523329230865 | volume_distance =     5.540750556819479 | sum_distance =    96.325273886050340 | exercise(cycle,model) = exerc_2 | exerc_4
[  23 / 132 ] flow_distance =    56.165975399015295 | volume_distance =    37.939987951794379 | sum_distance =    94.105963350809674 | exercise(cycle,model) = exerc_2 | exerc_6
[  23 / 132 ] flow_distance =   123.866921947204261 | volume_distance =     3.111662815839742 | sum_distance =   126.978584763043997 | exercise(cycle,model) = exerc_2 | exerc_3
[  23 / 132 ] flow_distance =    36.357618021221057 | volume_distance =     6.359868152403008 | sum_distance =    42.717486173624067 | exercise(cycle,model) = exerc_2 | exerc_7
[  23 / 132 ] flow_distance =     0.000000000000000 | volume_distance =     0.000000000000000 | sum_distance =     0.000000000000000 | exercise(cycle,model) = exerc_2 | exerc_2
[  23 / 132 ] flow_distance =    26.461690469969383 | volume_distance =     4.105034270778223 | sum_distance =    30.566724740747606 | exercise(cycle,model) = exerc_2 | exerc_5
[  23 / 132 ] flow_distance =    46.731874730094610 | volume_distance =     9.226056095167479 | sum_distance =    55.957930825262089 | exercise(cycle,model) = exerc_2 | exerc_1

[  24 / 132 ] flow_distance =    80.483901687229903 | volume_distance =     3.570003557827821 | sum_distance =    84.053905245057720 | exercise(cycle,model) = exerc_2 | exerc_4
[  24 / 132 ] flow_distance =    39.735664136685486 | volume_distance =    13.625950831072373 | sum_distance =    53.361614967757859 | exercise(cycle,model) = exerc_2 | exerc_6
[  24 / 132 ] flow_distance =   123.349214324421425 | volume_distance =    12.352913478644163 | sum_distance =   135.702127803065594 | exercise(cycle,model) = exerc_2 | exerc_3
[  24 / 132 ] flow_distance =    32.787976494261713 | volume_distance =     7.424261241859195 | sum_distance =    40.212237736120912 | exercise(cycle,model) = exerc_2 | exerc_7
[  24 / 132 ] flow_distance =    11.390585853240596 | volume_distance =     8.073837570774810 | sum_distance =    19.464423424015408 | exercise(cycle,model) = exerc_2 | exerc_2
[  24 / 132 ] flow_distance =    29.184942718536607 | volume_distance =     4.668770514518975 | sum_distance =    33.853713233055586 | exercise(cycle,model) = exerc_2 | exerc_5
[  24 / 132 ] flow_distance =    43.054860951473707 | volume_distance =    20.318086164463899 | sum_distance =    63.372947115937606 | exercise(cycle,model) = exerc_2 | exerc_1

[  25 / 132 ] flow_distance =    67.798734880670779 | volume_distance =     2.836334222501886 | sum_distance =    70.635069103172668 | exercise(cycle,model) = exerc_2 | exerc_4
[  25 / 132 ] flow_distance =    26.100617887889825 | volume_distance =    15.819196040699843 | sum_distance =    41.919813928589669 | exercise(cycle,model) = exerc_2 | exerc_6
