[  15 / 132 ] flow_distance =   221.032820434409416 | volume_distance =     5.521251364841124 | sum_distance =   226.554071799250551 | exercise(cycle,model) = exerc_1 | exerc_6
[  15 / 132 ] flow_distance =   422.859020954502967 | volume_distance =    11.338421854904187 | sum_distance =   434.197442809407164 | exercise(cycle,model) = exerc_1 | exerc_3
[  15 / 132 ] flow_distance =   118.565178689730516 | volume_distance =     5.233007775452074 | sum_distance =   123.798186465182596 | exercise(cycle,model) = exerc_1 | exerc_7
[  15 / 132 ] flow_distance =    61.355087932709218 | volume_distance =    12.390865013172501 | sum_distance =    73.745952945881726 | exercise(cycle,model) = exerc_1 | exerc_2
[  15 / 132 ] flow_distance =   141.994376993285272 | volume_distance =    16.186597233846658 | sum_distance =   158.180974227131941 | exercise(cycle,model) = exerc_1 | exerc_5
[  15 / 132 ] flow_distance =    79.324862239229248 | volume_distance =    12.744686637670577 | sum_distance =    92.069548876899830 | exercise(cycle,model) = exerc_1 | exerc_1

[  16 / 132 ] flow_distance =   152.686160436916566 | volume_distance =     4.762989874581888 | sum_distance =   157.449150311498443 | exercise(cycle,model) = exerc_1 | exerc_4
[  16 / 132 ] flow_distance =    58.527515029046995 | volume_distance =     5.562389890169428 | sum_distance =    64.089904919216423 | exercise(cycle,model) = exerc_1 | exerc_6
[  16 / 132 ] flow_distance =   316.442555246203881 | volume_distance =     9.250656793562035 | sum_distance =   325.693212039765911 | exercise(cycle,model) = exerc_1 | exerc_3
[  16 / 132 ] flow_distance =    43.542096019646813 | volume_distance =    17.740081627350339 | sum_distance =    61.282177646997155 | exercise(cycle,model) = exerc_1 | exerc_7
[  16 / 132 ] flow_distance =    18.167690624939226 | volume_distance =     1.458636392091599 | sum_distance =    19.626327017030825 | exercise(cycle,model) = exerc_1 | exerc_2
[  16 / 132 ] flow_distance =    76.644152257728749 | volume_distance =     9.867942986148428 | sum_distance =    86.512095243877184 | exercise(cycle,model) = exerc_1 | exerc_5
